VehicleID,Lane,Frame,Timestamp
4,2,1,0.03
2,1,1,0.03
9,1,32,1.07
16,1,47,1.57
17,2,48,1.6
14,1,48,1.6
13,3,63,2.1
23,1,64,2.13
6,2,85,2.83
24,3,86,2.87
7,1,87,2.9
26,1,104,3.47
29,2,127,4.23
31,1,140,4.67
42,1,186,6.2
43,1,193,6.43
47,1,208,6.93
52,1,212,7.07
46,1,219,7.3
55,1,240,8.0
28,2,252,8.4
61,2,255,8.5
66,1,266,8.87
58,1,270,9.0
57,1,278,9.27
38,2,302,10.07
72,2,307,10.23
74,1,317,10.57
76,2,325,10.83
75,1,330,11.0
79,1,337,11.23
81,1,340,11.33
88,1,354,11.8
51,1,355,11.83
89,1,357,11.9
59,1,357,11.9
90,1,358,11.93
78,2,364,12.13
91,2,365,12.17
67,1,401,13.37
69,2,410,13.67
97,1,411,13.7
98,2,427,14.23
73,1,449,14.97
101,1,453,15.1
103,1,461,15.37
113,1,516,17.2
116,1,527,17.57
117,1,536,17.87
114,1,577,19.23
122,1,592,19.73
124,1,593,19.77
118,1,628,20.93
134,1,639,21.3
107,2,649,21.63
136,2,660,22.0
140,1,662,22.07
141,1,669,22.3
143,2,675,22.5
115,2,709,23.63
147,2,719,23.97
148,1,729,24.3
152,1,736,24.53
149,1,761,25.37
125,1,772,25.73
145,1,805,26.83
163,1,815,27.17
164,2,834,27.8
168,1,842,28.07
169,3,867,28.9
177,1,876,29.2
157,1,896,29.87
180,2,911,30.37
189,1,952,31.73
190,1,967,32.23
186,2,973,32.43
196,3,1003,33.43
178,1,1020,34.0
204,1,1023,34.1
210,1,1041,34.7
167,1,1043,34.77
208,3,1062,35.4
218,1,1093,36.43
219,2,1098,36.6
222,1,1104,36.8
223,1,1111,37.03
212,1,1123,37.43
183,1,1136,37.87
216,2,1146,38.2
191,2,1148,38.27
238,3,1213,40.43
206,1,1231,41.03
241,1,1281,42.7
252,1,1295,43.17
255,2,1321,44.03
261,1,1360,45.33
244,1,1366,45.53
265,1,1369,45.63
267,1,1374,45.8
233,1,1380,46.0
262,3,1396,46.53
274,1,1400,46.67
275,2,1421,47.37
280,1,1433,47.77
286,1,1446,48.2
285,3,1476,49.2
294,2,1486,49.53
259,1,1492,49.73
295,1,1494,49.8
296,1,1498,49.93
271,1,1531,51.03
305,2,1542,51.4
302,3,1551,51.7
273,1,1561,52.03
311,3,1566,52.2
316,1,1593,53.1
309,3,1603,53.43
319,1,1606,53.53
326,1,1645,54.83
299,1,1666,55.53
266,1,1677,55.9
211,2,1702,56.73
335,2,1705,56.83
308,1,1719,57.3
340,2,1733,57.77
343,1,1747,58.23
315,1,1760,58.67
314,2,1791,59.7
352,2,1805,60.17
331,1,1809,60.3
318,1,1818,60.6
358,1,1821,60.7
360,2,1882,62.73
369,1,1890,63.0
338,1,1895,63.17
371,2,1896,63.2
372,1,1909,63.63
376,2,1914,63.8
384,1,1951,65.03
374,2,1958,65.27
392,2,1986,66.2
393,1,1991,66.37
364,1,2015,67.17
388,2,2022,67.4
382,1,2031,67.7
403,2,2039,67.97
370,2,2070,69.0
404,2,2073,69.1
415,1,2078,69.27
406,1,2082,69.4
414,1,2092,69.73
408,2,2119,70.63
425,2,2125,70.83
373,1,2149,71.63
426,1,2169,72.3
430,1,2178,72.6
378,1,2178,72.6
429,2,2180,72.67
434,2,2188,72.93
439,1,2217,73.9
433,2,2237,74.57
441,1,2243,74.77
438,1,2246,74.87
379,1,2246,74.87
445,1,2276,75.87
442,1,2287,76.23
409,1,2306,76.87
457,1,2342,78.07
436,1,2424,80.8
465,1,2435,81.17
428,1,2440,81.33
448,2,2444,81.47
467,2,2447,81.57
469,1,2464,82.13
453,1,2470,82.33
471,2,2487,82.9
455,1,2500,83.33
475,2,2509,83.63
480,1,2541,84.7
474,2,2544,84.8
485,2,2556,85.2
490,2,2607,86.9
491,2,2623,87.43
493,1,2654,88.47
478,1,2658,88.6
498,1,2661,88.7
473,1,2674,89.13
489,1,2682,89.4
500,1,2688,89.6
492,1,2754,91.8
507,1,2757,91.9
502,1,2778,92.6
503,1,2835,94.5
509,1,2903,96.77
521,1,2927,97.57
527,1,2960,98.67
518,1,2976,99.2
532,1,2991,99.7
541,1,3049,101.63
520,2,3057,101.9
546,2,3080,102.67
545,1,3081,102.7
529,1,3087,102.9
548,2,3096,103.2
538,1,3152,105.07
535,1,3155,105.17
558,2,3162,105.4
559,1,3170,105.67
561,1,3178,105.93
531,2,3178,105.93
563,1,3185,106.17
554,1,3209,106.97
537,2,3223,107.43
550,1,3238,107.93
572,2,3243,108.1
556,1,3257,108.57
571,2,3282,109.4
576,1,3293,109.77
579,2,3308,110.27
583,1,3318,110.6
584,1,3319,110.63
582,3,3342,111.4
587,1,3343,111.43
577,2,3344,111.47
594,1,3417,113.9
575,1,3420,114.0
598,1,3444,114.8
609,1,3495,116.5
592,1,3509,116.97
608,3,3514,117.13
600,1,3540,118.0
614,1,3565,118.83
615,2,3576,119.2
606,1,3612,120.4
619,1,3619,120.63
620,1,3628,120.93
621,2,3633,121.1
622,3,3665,122.17
626,3,3689,122.97
629,1,3735,124.5
632,1,3744,124.8
